"平成22年基準和歌山市消費者物価指数変化率(前月比)【10倍値】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199307","-2","12","0","-10","-17","-5","-26","153","255","-61","-65","3","-8","4","-4","0","18","-1","0","-3","0","0","0","0","0","-4","-12","0","0","-3","-3","0","-66","-86","0","-92","-72","-100","0","-42","-58","0","0","0","0","0","2","3","1","0","0","0","0","0","-11","-26","-38","2","0","0","0","0","0","0","0","63","-17","255","-65","-7","2","-3","-2","0","-6","-","-","0","-9","-","","",""
"199308","2","10","2","25","56","-27","-16","94","145","-18","-18","6","-19","22","0","0","0","0","0","-3","0","0","0","0","0","-2","1","0","0","0","-12","0","-32","-50","0","-55","-25","-36","0","-18","-5","0","1","0","5","0","-1","1","-3","0","0","0","0","0","5","-13","11","3","5","3","0","8","0","4","0","76","56","145","-18","-4","-6","2","-2","0","-5","-","-","0","5","-","","",""
"199309","7","-1","-6","-33","-60","35","-5","-8","-17","8","8","-8","9","15","-1","0","-4","1","1","3","0","0","0","0","0","0","-17","-3","81","0","-9","0","91","115","0","125","93","131","11","105","52","0","0","0","0","0","0","-4","3","0","0","0","0","0","3","-28","32","-2","-3","3","0","-5","17","0","0","-31","-60","-17","8","10","6","7","3","3","11","-","-","0","3","-","","",""
"199310","4","4","51","15","60","1","36","-102","-157","182","191","0","-3","4","4","0","3","0","0","1","0","0","0","0","0","11","34","0","0","-1","5","0","5","-13","0","-13","34","51","-5","0","14","0","1","0","0","1","2","2","0","7","0","0","0","0","8","-8","23","0","6","0","0","2","-3","0","0","-6","60","-157","191","4","6","4","1","1","5","-","-","0","7","-","","",""
"199311","-10","-26","35","-30","-46","0","0","-161","-253","-193","-199","3","7","4","-1","-1","-5","3","3","3","-7","-11","-7","0","0","-6","-23","3","0","1","4","0","3","11","0","11","-7","-10","0","0","4","0","-2","-7","-5","0","-14","-2","0","-67","0","0","0","0","3","-1","14","0","-1","3","16","-3","0","0","0","-154","-46","-253","-199","0","4","-11","9","17","0","-","-","0","2","-","","",""
"199312","-5","-2","10","-9","-3","-6","8","31","49","-92","-95","-16","2","-3","0","0","0","-1","-2","0","-4","0","-9","-24","0","-8","-17","0","0","0","-13","0","-21","-42","0","-46","-8","-12","0","0","0","0","-2","0","-2","0","4","14","0","0","0","0","0","0","-12","-10","-55","18","-3","0","0","0","0","0","0","-5","-3","49","-95","-4","-1","-5","0","-2","-5","-","-","0","-11","-","","",""
"199401","3","24","-4","56","41","4","-31","89","155","289","300","17","3","3","0","0","0","0","0","3","-7","0","-17","-36","0","-6","-30","5","0","0","7","0","-90","-105","0","-114","-128","-167","-33","-74","-9","0","0","-4","1","0","2","1","4","0","0","0","0","0","12","14","39","12","1","-3","0","-1","-12","0","0","128","41","155","300","-6","5","3","1","0","-6","-","-","0","11","-","","",""
"199402","-1","5","-2","12","9","-9","49","-3","-23","16","16","-2","-2","4","0","0","6","0","1","0","0","0","0","0","0","-1","-1","0","-5","13","-11","0","-28","-32","0","-35","-40","-56","-10","-37","7","0","-6","-1","-9","0","3","-2","0","17","0","0","0","0","-2","5","-9","7","-3","7","0","0","27","0","0","0","9","-23","16","0","5","0","0","1","-1","-","-","4","-2","-","","",""
"199403","12","20","195","-17","-18","0","11","-10","-19","54","58","1","1","0","-9","0","-3","0","-1","-2","0","0","0","0","0","-6","-5","0","-34","0","-2","0","79","126","0","139","46","71","0","120","10","0","-7","0","-19","0","1","2","0","0","0","0","0","0","-4","-22","-8","3","-1","-3","0","0","-11","0","0","-1","-18","-19","58","13","25","13","-2","-2","15","-","-","0","-3","-","","",""
"199404","4","-2","66","-30","-30","2","-18","-50","-84","-18","-19","-5","0","0","6","0","2","2","3","3","0","0","0","0","0","12","26","0","0","0","22","0","15","-4","0","-5","68","102","-5","0","-10","0","13","0","4","21","-1","0","-2","6","29","49","0","0","2","-30","6","2","3","0","0","1","0","0","0","-46","-30","-84","-19","7","8","4","3","2","7","-","-","24","1","-","","",""
"199405","5","-4","-1","-4","-18","9","-1","-41","-69","-79","-83","-2","0","0","3","36","1","1","0","4","0","0","0","0","0","0","0","0","0","0","-2","0","71","123","0","135","66","82","29","2","0","0","0","0","0","0","0","0","-1","0","4","7","0","0","2","-23","-19","2","14","0","0","-2","0","0","0","-50","-18","-69","-83","7","4","5","3","2","8","-","-","4","-4","-","","",""
"199406","-6","-13","22","-52","-86","-8","-14","-14","-27","-140","-146","0","0","0","2","0","-1","0","-2","8","0","0","0","0","0","-8","-23","0","0","0","-9","0","-17","-37","0","-40","-8","-10","-1","0","15","0","-3","1","-8","0","-1","-2","0","0","0","0","0","0","-2","-1","-14","2","1","0","0","3","0","0","0","-82","-86","-27","-146","-2","1","-7","1","-8","-2","-","-","0","-2","-","","",""
"199407","-8","0","-24","7","10","0","-32","23","39","35","36","0","3","-7","-4","0","4","1","1","0","0","0","0","0","0","0","15","-8","0","2","-20","0","-87","-101","0","-110","-100","-141","0","-104","-42","0","0","0","0","0","1","2","-1","0","0","0","0","0","-8","-2","-29","1","-1","0","0","-2","0","0","0","24","10","39","36","-10","-4","-8","4","10","-10","-","-","0","-6","-","","",""
"199408","5","10","-75","-4","21","-6","10","144","272","255","271","-9","0","0","-3","0","-4","0","0","0","0","0","0","0","0","3","1","0","0","0","20","0","-28","-56","0","-60","-10","-13","0","-12","0","0","0","0","0","0","-1","2","-3","0","0","0","0","0","22","-25","90","7","6","0","0","-1","0","0","0","159","21","272","271","-5","-17","5","0","0","-6","-","-","0","20","-","","",""
"199409","-2","-19","-133","-20","-56","9","19","12","21","21","20","13","-6","0","-5","0","-13","2","2","2","0","0","0","0","0","-7","-3","2","-69","0","4","0","88","111","-3","121","118","159","33","45","28","0","0","0","0","0","-2","-4","0","0","0","0","0","0","-4","-20","-2","-2","-5","5","0","0","22","0","0","-10","-56","21","20","-1","-20","-2","4","5","0","-","-","0","-4","-","","",""
"199410","7","22","-63","46","77","-2","37","32","49","347","360","2","6","-4","-1","-1","13","-1","0","-5","0","0","0","0","0","4","0","13","17","0","0","0","24","40","0","43","11","16","-2","33","16","0","2","-1","5","-2","1","2","0","0","0","0","0","0","-20","-27","-89","0","4","0","0","1","0","0","0","138","77","49","360","-1","-4","8","-4","0","-2","-","-","0","-18","-","","",""
"199411","-6","-18","-21","25","56","-15","-10","-41","-64","-223","-227","-2","11","0","-5","0","2","2","3","-1","0","0","0","0","0","-9","-18","0","26","0","-29","0","4","4","0","5","-8","-2","-21","40","0","0","0","0","-1","0","-2","-2","-3","0","0","0","0","0","1","-44","20","2","-2","-1","0","0","-7","0","0","-70","56","-64","-227","-2","-5","-7","0","1","-2","-","-","0","0","-","","",""
"199412","-8","-20","-3","-10","-21","-21","31","-112","-185","-131","-135","4","-3","-3","0","0","5","1","0","0","0","0","0","0","0","-2","-1","0","0","0","-12","0","-14","-25","0","-28","-11","-16","0","0","0","0","-6","0","-14","0","0","1","-1","0","0","0","0","0","2","-19","24","0","-3","0","0","0","0","0","0","-106","-21","-185","-135","-1","0","-9","1","1","-2","-","-","0","3","-","","",""
"199501","0","12","-9","-20","-34","13","-42","84","149","200","211","-15","2","2","0","0","0","0","0","0","1","0","3","0","0","0","-5","0","-18","0","18","0","-84","-108","0","-119","-85","-115","-12","-80","-50","0","4","0","-3","10","0","1","0","0","0","0","0","0","14","21","55","0","0","6","25","-2","0","0","0","83","-34","149","211","-6","-3","0","0","0","-6","-","-","1","12","-","","",""
"199502","-4","-4","-6","7","3","0","12","-30","-48","-8","-11","2","-18","10","0","0","0","0","0","0","0","0","0","0","0","3","11","0","0","8","-16","0","-67","-100","0","-121","-75","-102","-11","1","-3","0","2","-1","13","0","4","-1","-5","35","0","0","0","0","-3","-2","-8","-1","-1","3","0","14","-5","0","0","-18","3","-48","-11","-4","1","-6","0","0","-5","-","-","-1","-3","-","","",""
"199503","3","-3","0","8","21","0","-9","-3","-4","-14","-14","0","-1","-14","-1","0","-8","0","0","0","0","0","0","0","0","-2","2","0","0","10","-31","0","75","150","0","187","-3","-10","9","70","19","0","0","0","-2","1","0","2","-2","4","0","0","0","0","2","20","4","-1","-1","0","0","1","0","0","0","4","21","-4","-14","3","-5","4","0","0","5","-","-","0","3","-","","",""
"199504","2","-7","12","-11","-29","-2","-46","-15","-23","-92","-96","9","3","12","-13","0","0","4","4","-3","0","0","0","0","0","-13","-41","0","-4","-10","25","0","79","42","0","50","223","330","0","-19","33","0","-2","-7","-2","1","2","7","0","-1","9","17","11","0","-16","-47","-47","1","4","0","0","-6","2","0","114","-44","-29","-23","-96","5","1","2","5","11","5","-","-","8","-14","-","","",""
"199505","4","9","0","8","20","-19","29","78","129","69","72","0","0","4","10","0","-14","0","0","0","0","0","0","0","0","-9","-21","0","-15","-4","3","0","0","20","0","24","-27","-34","-9","0","0","0","-1","-6","0","0","-1","0","-2","0","0","0","0","0","7","-2","16","0","5","1","0","1","4","0","0","71","20","129","72","-1","-4","4","0","0","-1","-","-","0","6","-","","",""
"199506","2","7","-1","-2","-8","59","-12","-42","-63","132","137","0","1","2","-1","0","0","6","6","7","0","0","0","0","0","-15","-41","0","0","-3","-6","0","-1","-2","0","-2","-1","-9","20","0","0","0","2","3","12","0","-1","-2","0","0","0","0","0","0","-5","-16","-10","3","-1","-1","0","-2","0","0","0","5","-8","-63","137","2","7","1","13","18","2","-","-","0","-4","-","","",""
"199507","-12","-20","-7","2","4","-48","-16","-47","-77","-147","-149","-2","3","-7","-1","0","0","1","0","9","-1","-2","0","0","0","-8","10","0","0","-40","-27","0","-55","-62","0","-73","-80","-109","0","-35","0","0","6","21","-1","0","0","2","-1","1","0","0","0","0","-16","-13","-32","-1","-13","0","0","0","0","0","0","-63","4","-77","-149","-8","-9","-13","5","0","-10","-","-","0","-14","-","","",""
"199508","2","9","-4","21","30","-23","-4","71","115","35","37","2","2","0","-5","0","0","0","1","0","-1","0","0","-25","0","-4","-5","-14","0","-11","11","0","-31","-29","0","-35","-27","-40","0","-71","-27","0","2","7","0","0","1","2","0","0","0","0","0","0","14","-9","47","1","6","-2","0","-6","0","0","0","60","30","115","37","-2","-3","2","0","1","-2","-","-","0","13","-","","",""
"199509","10","9","3","-45","-48","0","61","44","71","107","111","6","0","4","32","0","0","1","1","2","0","0","0","0","0","10","30","0","-10","0","9","0","100","95","0","114","163","235","0","109","6","0","0","0","0","0","2","16","-2","-7","0","0","0","0","1","-16","16","0","-3","-3","0","-7","-5","0","0","30","-48","71","111","9","3","12","1","1","10","-","-","0","3","-","","",""
"199510","-2","-10","-11","3","11","71","16","-112","-164","-54","-56","-13","-11","0","3","0","0","0","0","0","0","0","0","0","0","4","16","0","0","0","-14","0","18","26","0","31","14","11","22","0","25","0","0","0","-1","1","0","1","0","2","0","0","0","0","-9","3","-35","-1","0","-1","0","0","-4","0","0","-69","11","-164","-56","2","6","-3","0","1","3","-","-","0","-7","-","","",""
"199511","-5","-17","16","-7","-4","-26","-15","-53","-91","-196","-203","13","-1","0","-4","2","0","0","0","0","0","0","0","13","0","-8","-24","0","0","0","4","0","24","45","0","53","10","14","0","0","4","0","-4","-11","-6","0","0","-1","-1","1","0","0","0","0","-3","-47","3","3","1","2","0","7","0","0","0","-83","-4","-91","-203","1","-2","-5","1","0","0","-","-","0","-3","-","","",""
"199512","0","-3","-9","-13","-15","-23","12","22","35","0","0","-5","2","-1","5","0","0","8","9","0","0","0","0","0","0","1","-3","0","6","0","9","0","-8","-12","0","-14","-11","-28","37","0","0","0","0","0","0","0","-1","1","-1","-2","0","0","0","0","-2","-54","18","-1","-3","0","0","0","0","0","0","4","-15","35","0","0","-4","-2","7","13","-2","-","-","0","-1","-","","",""
"199601","-6","9","-2","33","31","15","-39","44","69","27","30","-5","1","7","-10","0","-4","0","0","0","-12","-22","-2","0","0","-7","-14","0","-3","0","-14","0","-112","-134","0","-158","-140","-183","-27","-65","-21","0","-2","-6","-3","0","-1","0","-3","0","0","0","0","0","2","-8","-7","3","8","1","0","-2","3","0","61","44","31","69","30","-10","1","-8","0","0","-11","-","-","1","2","-","","",""
"199602","-2","5","-4","27","44","5","19","-10","-8","18","20","0","-4","-6","10","0","9","1","0","0","-2","0","0","-38","0","-5","-4","0","0","3","-22","0","-38","-52","0","-61","-56","-72","-21","16","0","0","-2","-4","-7","0","-2","-1","-1","-3","0","0","0","0","-2","-16","8","2","-7","9","14","-1","22","0","0","20","44","-8","20","-3","2","-1","0","0","-3","-","-","0","-3","-","","",""
"199603","5","3","13","9","20","3","15","-49","-77","83","85","0","10","0","0","0","1","-3","-3","0","0","0","0","0","0","9","19","0","9","0","16","0","59","118","0","142","-5","-20","30","58","9","0","0","0","0","0","-1","2","-2","0","0","0","0","0","-3","-45","11","-3","-2","2","0","8","0","0","0","2","20","-77","85","5","3","5","-3","-6","5","-","-","0","-1","-","","",""
"199604","13","22","-7","34","56","-1","4","108","178","147","153","-8","26","-4","-11","0","0","7","7","6","4","0","2","52","0","0","-1","0","0","0","-1","0","70","46","0","55","186","279","0","0","9","0","11","0","6","17","-7","0","-10","-8","9","16","7","0","4","98","-24","0","5","-1","0","-3","0","0","0","116","56","178","153","7","0","15","10","14","8","-","-","6","3","-","","",""
"199605","0","-3","5","-13","-19","-16","-10","2","2","9","9","-20","8","-4","3","-2","0","0","1","0","0","0","0","0","0","6","-4","0","-1","23","18","0","16","30","0","35","2","2","3","15","0","0","-1","0","-4","0","-2","0","-3","-1","0","0","0","0","-3","-12","-11","0","3","0","0","0","-1","0","0","-6","-19","2","9","0","-2","0","0","0","0","-","-","1","-3","-","","",""
"199606","-10","-23","3","-79","-97","-13","-12","-62","-96","-76","-78","21","2","2","-14","0","0","-12","-14","2","0","0","0","0","0","-2","-11","8","0","0","6","0","-3","-1","0","-1","2","1","5","-4","-34","0","-2","-4","-5","0","0","-1","0","-4","0","0","0","0","-4","-19","-22","2","6","2","5","0","0","0","0","-92","-97","-96","-78","-4","-4","-9","-3","-6","-2","-","-","0","-4","-","","",""
"199607","1","14","-1","31","51","23","2","97","156","-27","-31","1","-22","2","2","0","0","0","0","0","6","11","2","0","0","-10","-23","0","0","-19","4","0","-38","-36","0","-42","-55","-77","0","-48","-24","0","0","0","0","0","-3","2","-5","-3","0","0","0","0","4","0","21","-1","-2","1","0","2","0","0","0","66","51","156","-31","-3","1","1","0","0","-3","-","-","0","5","-","","",""
"199608","-4","-3","2","-16","-51","-26","-16","-4","-4","51","53","-4","0","5","0","0","0","0","0","0","0","0","0","0","0","-14","-12","0","0","-18","-42","0","-43","-60","0","-72","-41","-57","0","0","-32","0","0","0","0","0","0","4","-2","2","0","0","0","0","4","-9","4","1","6","-3","0","-8","0","0","0","-11","-51","-4","53","-4","-1","-5","0","0","-5","-","-","0","4","-","","",""
"199609","5","2","-3","-24","-45","29","35","-7","-6","38","37","0","1","-4","0","0","0","0","0","-1","0","0","0","0","0","0","17","0","-68","9","-3","0","77","42","0","52","196","277","19","18","0","0","1","4","-5","0","-3","-7","-1","-4","0","0","0","0","-7","-2","-17","-2","-4","0","0","0","0","0","0","-12","-45","-6","37","6","5","6","0","0","7","-","-","0","-8","-","","",""
"199610","2","-6","1","31","51","-12","13","-58","-89","-56","-57","-3","2","5","4","0","0","9","10","2","2","3","2","0","0","1","12","-22","0","0","1","0","36","68","0","81","-5","-9","4","62","15","0","0","3","-1","0","-6","1","-12","0","0","0","0","0","2","-6","9","0","0","-4","0","-1","-14","0","0","-25","51","-89","-57","5","0","1","14","22","4","-","-","0","1","-","","",""
"199611","-3","-10","2","-16","-21","-9","-11","-66","-106","-23","-23","0","1","5","-2","0","1","0","0","-1","0","0","0","13","0","1","9","0","-8","0","-8","0","24","64","13","72","-20","-8","-53","0","3","0","-2","-1","-8","0","-2","-1","-3","0","0","0","0","0","-11","-57","-30","2","4","-1","0","1","-5","0","0","-51","-21","-106","-23","0","-1","-3","-1","0","0","-","-","0","-10","-","","",""
"199612","3","12","-1","111","171","-30","-17","33","49","18","18","0","-6","0","-2","0","-9","3","3","-1","0","0","0","0","0","-12","-43","0","8","-1","11","0","-21","-51","-10","-58","7","13","-8","-5","41","0","0","0","0","0","-1","-6","0","3","0","0","0","0","5","-4","42","-1","-11","0","0","-1","0","0","0","95","171","49","18","-3","-7","2","1","1","-4","-","-","0","3","-","","",""
"199701","-8","-8","1","-56","-100","2","-21","-4","-2","14","15","-1","-10","-12","7","2","9","0","0","2","5","2","1","24","15","1","1","0","-5","3","2","0","-99","-115","0","-135","-133","-183","13","-73","7","1","2","0","8","2","3","1","6","0","0","0","0","0","10","-2","30","12","1","8","11","-2","23","0","0","-43","-100","-2","15","-6","1","-9","1","0","-7","-","-","4","9","-","","",""
"199702","2","8","14","18","14","-3","5","-2","-5","68","71","0","7","0","4","0","0","0","0","1","3","0","10","0","0","-8","-13","-13","0","-8","-8","0","-1","26","0","30","-30","-50","12","-23","-18","0","-1","0","-10","0","-1","5","0","-15","0","0","0","0","-1","4","-8","1","-1","-4","0","-1","-17","0","0","21","14","-5","71","1","5","2","0","0","0","-","-","-1","-1","-","","",""
"199703","2","-4","0","-3","-2","2","56","-32","-52","-50","-53","-2","-2","6","-5","0","0","0","0","0","2","0","7","0","0","13","36","0","0","3","5","0","44","73","0","88","13","19","2","78","-30","0","2","0","13","0","0","2","0","-1","0","0","0","0","-10","-25","-28","-1","1","9","24","6","0","0","0","-30","-2","-52","-53","4","3","2","0","1","5","-","-","0","-8","-","","",""
"199704","21","21","19","-11","-23","28","-23","67","92","-3","-4","17","27","14","13","7","43","1","-1","21","28","20","59","12","0","39","84","18","24","29","-5","20","61","30","13","33","137","195","9","59","13","62","7","7","9","5","14","14","13","18","24","16","25","34","28","34","26","16","32","29","52","18","19","23","0","16","-23","92","-4","21","22","25","8","-2","26","-","-","21","26","-","","",""
"199705","0","-1","1","-41","-47","52","9","-29","-47","-19","-20","4","2","5","8","4","6","-5","-5","0","10","9","9","0","20","7","16","-10","0","-8","30","0","16","1","0","2","45","60","5","-1","30","0","0","0","0","0","-2","0","-4","4","0","0","0","0","-9","-4","-39","-2","5","3","0","0","13","0","0","-41","-47","-47","-20","2","8","1","2","3","4","-","-","1","-7","-","","",""
"199706","3","13","4","29","27","9","2","55","87","22","23","-9","23","0","-6","0","4","-3","-3","0","0","0","0","0","0","-6","-2","0","0","-2","-32","0","-3","0","-2","0","-10","-18","13","0","0","2","-2","0","-8","0","0","7","-4","0","0","0","0","0","2","25","0","3","-1","0","0","-1","0","0","0","46","27","87","23","1","6","5","0","-1","2","-","-","0","0","-","","",""
"199707","-6","-7","-5","-2","-14","-11","-10","-42","-68","14","14","-1","-5","-9","1","0","0","0","0","1","4","2","9","0","0","-3","-2","5","0","0","-23","0","-43","-26","15","-34","-58","-68","-32","-99","-59","0","0","0","0","0","-1","1","-2","0","0","0","0","0","-7","-19","-19","0","-1","-1","8","-2","-11","0","0","-25","-14","-68","14","-5","-2","-7","0","0","-6","-","-","0","-5","-","","",""
"199708","3","10","-11","57","111","-17","10","103","170","-99","-104","0","-5","3","-2","0","0","1","0","0","0","0","0","0","0","0","-9","0","0","0","18","0","-16","-25","0","-30","-16","-32","26","-36","56","0","0","0","0","0","1","5","0","0","0","0","0","0","11","-17","37","4","5","0","0","-1","0","0","0","75","111","170","-104","-1","-6","3","0","0","-2","-","-","0","11","-","","",""
"199709","8","2","-2","-51","-66","-11","27","7","10","187","196","1","4","3","13","0","-6","0","0","2","0","0","0","0","0","-6","-24","4","2","17","-6","0","43","31","-91","54","36","59","-22","198","12","0","137","1","8","236","-3","-7","-2","-3","0","0","0","0","3","-24","27","-3","-4","-2","0","-4","0","0","0","16","-66","10","196","8","-1","10","1","0","10","-","-","0","1","-","","",""
"199710","2","1","-15","3","0","67","18","44","63","-194","-201","0","-5","2","-16","-12","6","0","0","1","-1","0","-2","0","0","2","-17","0","8","48","-12","0","25","28","104","16","32","43","3","4","28","0","0","0","0","0","1","5","-1","0","0","0","0","0","2","-4","-4","0","6","0","0","-3","0","0","0","-28","0","63","-201","4","8","3","0","0","5","-","-","0","2","-","","",""
"199711","-8","-23","-11","7","9","0","-1","-123","-183","-226","-237","1","-8","8","5","0","0","0","0","0","0","0","0","0","0","-3","-11","0","0","0","4","0","16","39","0","46","-5","-10","5","0","2","0","-1","-1","-2","0","-4","-1","-7","1","0","0","0","0","-19","-18","-52","2","-7","2","0","6","0","0","0","-115","9","-183","-237","-1","-1","-10","1","0","-2","-","-","0","-16","-","","",""
"199712","-6","-12","3","1","1","0","-18","-81","-126","-48","-51","0","3","0","12","0","-14","-3","-3","1","-1","0","0","-24","0","-6","-11","0","0","-11","0","0","-18","-33","0","-39","-1","-1","0","0","-33","0","-1","0","-7","0","-1","-3","1","-3","0","0","0","0","3","-7","19","-1","-3","0","0","0","0","0","0","-53","1","-126","-51","-4","-4","-6","-4","-7","-3","-","-","0","1","-","","",""
"199801","-3","15","-1","85","149","-25","-14","50","90","141","149","1","-9","-7","5","0","0","0","0","0","-7","-7","-5","-37","0","0","4","-6","8","9","-22","0","-90","-105","-78","-109","-112","-151","-7","-74","-14","0","0","0","0","0","-4","1","-9","1","0","0","5","0","2","-8","13","2","-2","-1","0","-5","2","0","0","130","149","90","149","-10","-7","-4","0","0","-12","-","-","2","2","-","","",""
"199802","1","9","-2","-21","-10","-30","23","69","110","186","197","0","9","-3","2","-2","0","0","0","1","-13","-28","0","0","0","15","-4","47","-9","57","12","0","-22","-23","85","-43","-31","-44","0","-31","-1","0","0","-2","0","1","-6","2","-2","-25","0","0","0","0","1","39","-11","0","0","-1","0","1","-5","0","0","65","-10","110","197","-3","-5","1","0","0","-4","-","-","-1","1","-","","",""
"199803","6","7","0","-10","-19","-2","-37","42","67","166","174","0","5","8","-8","0","-9","-1","-2","1","0","0","0","0","0","1","-8","3","3","5","11","0","62","105","0","126","5","-13","44","87","34","0","0","0","-1","0","-4","2","-11","3","0","0","0","0","7","-8","30","0","0","-1","0","1","0","-3","0","49","-19","67","174","3","-3","8","-1","-3","4","-","-","0","7","-","","",""
"199804","-3","-4","4","-22","-41","1","0","-5","-6","-54","-57","-6","2","0","3","0","9","-39","-40","-25","28","0","0","0","184","19","0","0","0","0","3","175","46","36","-1","44","114","165","9","0","-10","0","-2","-1","-6","-2","-2","1","-4","-2","10","15","11","4","-5","-36","-7","0","1","0","0","-3","2","0","0","-33","-41","-6","-57","-1","4","4","-21","-18","7","-","-","8","-4","-","","",""
"199805","2","6","1","-20","-29","-13","-20","104","156","74","79","-4","-10","-13","-13","-2","-7","0","0","-1","-3","0","0","-51","0","-1","-1","0","0","0","-5","0","18","51","0","60","-23","-30","-6","0","0","0","0","0","0","0","-4","0","-9","5","1","1","0","0","-5","-7","-20","0","1","-2","0","-1","-7","0","0","57","-29","156","79","-2","-8","2","-1","-1","-2","-","-","2","-5","-","","",""
"199806","-4","-6","4","-25","-31","21","6","-71","-108","46","48","8","0","-5","12","0","0","-1","-3","16","0","0","0","0","0","-3","-8","0","0","0","-1","0","-7","-16","0","-19","4","20","-33","0","0","0","0","0","1","0","-2","-2","-3","0","0","0","0","0","-5","-16","-10","2","-3","2","0","0","7","0","0","-42","-31","-108","48","0","4","-4","3","-7","0","-","-","0","-4","-","","",""
"199807","-1","12","0","26","30","-4","7","-7","-21","188","195","-2","4","0","-8","-1","0","0","0","0","-2","0","-8","0","0","-5","0","0","0","-22","-4","0","-51","-51","0","-60","-68","-95","0","-65","-30","0","0","0","0","0","1","3","0","-1","0","0","0","0","-3","-16","-2","-2","-1","-4","0","0","-13","0","0","54","30","-21","195","-5","1","-1","0","0","-6","-","-","2","-4","-","","",""
"199808","4","-3","0","-6","-7","-5","-9","-27","-43","-1","0","11","-4","12","-1","1","0","17","20","-9","0","0","0","0","0","4","-3","0","0","22","8","0","-18","-11","0","-13","-39","-58","0","-16","-12","0","0","0","0","0","1","5","0","-1","0","0","0","0","24","50","67","1","5","6","0","0","21","0","0","-17","-7","-43","0","5","0","1","6","18","3","-","-","0","22","-","","",""
"199809","6","14","0","67","96","-13","34","71","121","-105","-108","0","30","14","19","0","0","-2","-2","0","0","0","0","0","0","-3","-10","0","0","0","-6","0","45","31","1","36","79","119","-5","77","29","0","-2","0","-10","0","-2","-8","0","0","0","0","0","0","-10","-17","-23","-1","-4","-1","0","0","0","0","0","45","96","121","-108","3","6","7","-3","-6","4","-","-","0","-10","-","","",""
"199810","6","14","10","3","21","-4","-5","162","248","-121","-126","0","18","-1","9","1","0","0","0","-1","-5","-7","-3","0","0","1","4","0","0","0","1","0","23","22","0","26","51","75","-7","0","-25","0","-1","0","-4","0","0","2","0","-1","0","0","0","0","1","0","-2","0","4","3","0","-1","10","0","0","61","21","248","-126","2","1","8","0","0","2","-","-","0","2","-","","",""
"199811","2","-2","5","-11","-28","11","-17","19","28","-54","-56","0","-5","-4","-1","0","-2","0","0","1","0","0","0","0","0","-1","1","0","-2","-3","-3","0","30","65","0","76","-7","0","-24","9","2","0","1","4","0","0","-1","-2","0","0","0","0","0","0","1","-7","8","1","-1","0","0","0","0","0","0","-11","-28","28","-56","3","1","2","0","0","3","-","-","0","0","-","","",""
"199812","-7","-18","-3","20","21","-14","23","-109","-155","-84","-88","-2","7","0","2","0","-12","0","0","0","-3","0","0","-67","0","2","6","0","2","0","0","0","-15","-19","0","-23","-18","-25","0","0","-13","0","0","0","-4","0","0","-2","0","-1","0","0","0","0","-1","4","-2","0","-4","11","0","0","0","78","0","-72","21","-155","-88","-2","-2","-8","0","0","-1","-","-","0","-1","-","","",""
"199901","-7","-1","0","-12","1","19","-49","-57","-85","153","159","-6","-6","-5","3","-3","12","0","0","0","-4","-1","-3","-71","0","3","-2","24","0","0","0","0","-87","-95","0","-110","-126","-172","-7","-48","-22","0","1","0","6","0","1","5","0","0","0","0","0","0","-4","22","-17","1","-1","0","0","-2","3","0","0","-2","1","-85","159","-7","-1","-9","0","0","-10","-","-","1","-2","-","","",""
"199902","-3","-5","-4","-31","-49","10","16","-36","-53","31","34","0","4","2","0","2","0","1","1","-1","-3","0","-9","0","0","-8","-15","0","0","0","-20","0","-13","-10","0","-12","-19","-36","19","-17","-22","0","4","7","20","0","-2","-3","-1","-1","0","0","0","0","-3","-26","-5","0","-1","0","0","2","0","0","0","-32","-49","-53","34","-1","3","-4","1","3","-1","-","-","0","-4","-","","",""
"199903","1","-2","3","26","23","-14","10","-48","-74","13","13","6","-7","-3","-2","0","0","-1","-1","0","0","0","0","0","0","-3","26","-2","22","-61","-4","0","32","50","0","58","-8","-12","0","81","8","6","-1","0","-2","0","1","3","0","0","0","0","0","0","-3","-7","-9","0","1","-1","0","-3","0","0","0","-12","23","-74","13","2","0","2","-1","-3","2","-","-","0","-2","-","","",""
"199904","4","0","0","-12","-23","0","-4","21","30","-7","-9","-1","6","0","0","0","0","-12","-15","7","-6","-9","-4","0","0","-4","-10","0","-4","0","0","0","82","39","0","46","247","374","-7","7","38","0","7","0","16","7","0","-2","0","1","17","13","3","21","-1","-19","2","0","0","1","0","0","1","0","0","-3","-23","30","-9","4","1","7","-3","-10","9","-","-","13","-1","-","","",""
"199905","-2","3","1","28","42","-19","6","-23","-38","53","56","-2","-1","-5","12","0","0","1","2","0","0","0","0","0","0","6","-8","0","3","0","56","0","-29","-61","0","-71","1","6","-13","0","0","0","0","0","-3","0","-1","0","-3","0","0","0","0","0","-12","-4","-8","0","-19","2","0","1","10","0","0","19","42","-38","56","-4","-2","-3","3","5","-5","-","-","0","-10","-","","",""
