"平成22年基準和歌山市消費者物価指数変化率(前月比)【10倍値】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197212","5","4","1","44","57","5","23","45","69","-219","-225","2","2","-5","0","0","2","2","0","9","1","0","0","6","-","2","-2","0","18","3","0","0","19","18","-3","25","14","-7","27","2","12","33","4","12","0","0","0","0","0","0","0","0","0","-","8","2","23","17","0","0","0","0","-1","0","0","-3","57","69","-225","5","3","5","5","0","6","-","-","-","-","-","","",""
"197301","9","17","0","51","70","57","-42","12","-3","23","23","0","-2","20","0","0","15","-14","-1","5","0","0","0","0","-","14","27","-7","10","8","0","31","-8","3","4","2","-64","-176","8","16","1","0","0","0","0","0","0","0","1","0","0","0","0","-","16","0","52","20","6","1","0","0","5","0","0","40","70","-3","23","8","11","10","0","-6","7","-","-","-","-","-","","",""
"197302","15","19","0","-56","-92","25","78","90","89","147","154","33","25","10","0","0","8","51","59","23","0","0","0","0","-","18","20","7","16","41","4","0","10","9","20","5","18","0","27","12","8","2","0","0","0","0","3","0","6","0","0","0","0","-","3","4","15","3","0","-13","0","-64","-3","0","0","2","-92","89","154","18","27","11","31","40","14","-","-","-","-","-","","",""
"197303","25","39","1","5","2","45","0","97","174","457","475","4","8","6","0","0","10","6","-1","25","0","0","0","0","-","13","2","22","54","21","-4","0","53","37","24","41","53","11","76","13","49","48","0","0","0","0","14","0","42","0","25","0","121","-","1","-1","11","-3","0","2","0","0","12","0","0","149","2","174","475","15","11","27","11","-6","15","-","-","-","-","-","","",""
"197304","27","40","0","144","216","91","10","15","44","12","12","13","22","50","0","0","1","14","6","40","0","0","0","0","-","16","10","10","51","8","16","0","34","33","36","32","33","105","-2","4","25","27","4","18","0","0","1","0","4","0","77","99","0","-","8","-5","13","2","15","27","71","0","13","0","0","110","216","44","12","19","18","29","31","17","21","-","-","-","-","-","","",""
"197305","21","17","4","49","67","8","-76","122","206","-84","-86","5","7","-1","7","0","19","4","2","12","0","0","0","0","-","24","5","9","5","20","0","249","67","99","31","122","117","279","31","9","9","2","0","0","0","0","24","67","5","0","10","13","0","-","27","14","74","0","26","5","0","0","31","0","0","72","67","206","-86","14","0","21","2","-12","15","-","-","-","-","-","","",""
"197306","2","-12","4","-70","-105","5","-3","-154","-240","279","287","13","20","45","0","62","0","7","0","31","-3","-4","-4","0","-","20","27","3","4","11","41","0","28","28","96","8","18","0","30","37","13","67","0","0","0","0","5","0","12","0","0","0","0","-","15","-2","-77","4","68","2","0","0","14","0","0","-72","-105","-240","287","11","7","2","18","0","12","-","-","-","-","-","","",""
"197307","5","-2","0","24","6","6","0","3","3","-159","-162","5","16","-3","0","0","14","5","3","8","0","0","0","0","-","14","1","9","7","60","15","0","19","18","14","19","38","11","56","18","12","2","4","15","0","0","1","0","4","0","0","0","0","-","30","5","1","141","0","4","0","0","25","0","200","-41","6","3","-162","9","10","6","9","9","9","-","-","-","-","-","","",""
"197308","10","6","0","41","59","-1","41","-28","-46","19","19","3","5","-3","-14","0","0","26","6","88","0","0","0","0","-","1","-7","-3","3","14","0","0","-13","-35","43","-61","6","3","8","5","7","0","0","0","0","0","0","0","1","0","0","0","0","-","20","24","77","5","5","42","107","0","14","0","0","19","59","-46","19","10","2","9","54","3","10","-","-","-","-","-","","",""
"197309","17","28","2","6","-15","10","30","204","355","-42","-44","4","1","30","0","0","16","21","1","80","0","0","0","0","-","26","21","62","18","21","45","0","17","47","30","54","-67","-172","-3","37","6","12","0","0","0","0","3","0","6","0","0","0","0","-","10","13","-47","37","18","3","0","0","23","0","0","77","-15","355","-44","11","13","19","50","1","12","-","-","-","-","-","","",""
